chunk,reservoirs,water-bodies,reservoir-coordinates,,,,,water-body-coordinates
0,0,0,,,,,
1,1,0,[131.566 129.368 145.696 150.72 ],,,,
2,0,0,,,,,
3,0,0,,,,,
4,0,1,,,,,,[75.046 68.452 93.572 85.094]
5,0,0,,,,,
6,0,0,,,,,
7,0,0,,,,,
8,0,0,,,,,
9,0,0,,,,,
10,0,0,,,,,
11,0,0,,,,,
12,0,1,,,,,,[ 98.91    2.512 122.774  16.328]
65,0,0,,,,,
66,0,0,,,,,
67,0,0,,,,,
68,0,0,,,,,
69,0,0,,,,,
70,0,0,,,,,
71,0,0,,,,,
72,1,0,[ 58.09   88.862  73.79  105.818],,,,
73,1,0,[127.798  41.762 140.672  57.776],,,,
74,0,0,,,,,
75,0,0,,,,,
76,0,0,,,,,
77,0,0,,,,,
78,0,1,,,,,,[75.674 45.53  91.374 61.23 ]
79,0,0,,,,,
80,0,0,,,,,
81,0,0,,,,,
82,0,1,,,,,,[76.93  41.134 87.92  55.892]
83,0,0,,,,,
84,0,0,,,,,
140,0,0,,,,,
141,0,0,,,,,
142,0,0,,,,,
143,0,0,,,,,
144,0,0,,,,,
145,0,0,,,,,
146,0,0,,,,,
147,0,0,,,,,
